,deltaCH4,surf_ch4_per_ch4_flux,h2_flux_per_ch4_flux,ozone_rf_per_ch4_flux,h2o_rf_per_ch4_flux,aerosol_rf_per_ch4_flux
CNTR,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
antro01,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
antro1,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
antro10,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
antro100,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
nemo,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
epia,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
munich,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
usdrydep,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
maud,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
zep,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
